Autotrace aktiviert
Zeigt den Ausführungsplan und die Statistiken der Anweisung an.
SQL> SELECT * FROM employeesN WHERE first_name = 'Lorien';

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     13134 25.06.55 Lorien         Chepyzhov        M 29.08.87
     12898 05.03.59 Lorien         Pelc             F 16.04.91
     13533 29.01.64 Lorien         Crouzet          F 08.07.89
     15564 29.04.63 Lorien         DiGiano          F 06.05.95
     14878 02.11.60 Lorien         Arlazarov        M 03.11.85
     16691 13.07.61 Lorien         Isard            M 01.05.90
     15857 06.02.60 Lorien         Kuhnemann        F 05.03.89
     17220 09.07.55 Lorien         Panwar           F 14.11.88
     19497 16.06.55 Lorien         Conde            M 24.11.89
     20419 27.10.62 Lorien         Luck             M 21.07.90
     21925 17.03.61 Lorien         Lambe            F 30.11.95

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     22721 29.03.59 Lorien         Besselaar        M 27.02.85
     27006 22.01.64 Lorien         Masand           M 19.01.91
     26610 16.04.56 Lorien         Papsdorf         F 01.05.88
     26110 08.10.54 Lorien         Veevers          M 07.09.85
     28361 27.11.55 Lorien         Basagni          M 15.07.89
     28923 14.04.57 Lorien         Lanteri          M 21.05.85
     28607 20.01.63 Lorien         Buchter          F 04.07.93
     49459 19.03.58 Lorien         Dalphin          M 10.08.87
     50077 03.07.60 Lorien         Aseltine         M 22.03.91
     40414 17.11.57 Lorien         Gopalakrishnan   M 10.05.94
     48170 15.04.56 Lorien         Luon             M 23.12.99

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     40885 21.03.60 Lorien         Pehl             M 15.08.87
     42267 04.11.58 Lorien         Conte            M 17.01.95
     41099 21.08.59 Lorien         Rosaz            M 25.01.90
     43201 22.01.64 Lorien         Tsukuda          F 19.09.87
     31318 12.03.55 Lorien         Bednarek         M 27.11.86
     34853 24.11.54 Lorien         Levasseur        M 17.03.92
     37567 28.02.55 Lorien         Gurbaxani        M 22.02.90
     29937 20.10.63 Lorien         Verhaegen        M 08.02.85
     32568 07.08.53 Lorien         Rijckaert        M 13.07.94
     32865 17.08.59 Lorien         Frezza           M 30.06.88
     35779 11.05.56 Lorien         Mandell          M 30.01.93

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     36229 14.12.59 Lorien         Maliniak         F 21.11.86
     70775 05.02.57 Lorien         Staudhammer      M 17.08.86
     67582 23.04.58 Lorien         Siochi           M 03.02.94
     61582 31.12.63 Lorien         Bauknecht        M 09.04.93
     65708 23.10.62 Lorien         Cappelli         M 25.01.90
     63611 04.05.53 Lorien         Lorcy            F 10.10.86
     52529 05.07.52 Lorien         Erez             F 04.10.89
     55348 25.07.59 Lorien         Jansch           F 12.01.90
     53194 04.12.54 Lorien         Unno             M 25.04.87
     53195 31.12.60 Lorien         Rosaz            F 13.11.87
     59356 02.08.54 Lorien         Belinskaya       F 19.06.95

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     56870 03.10.61 Lorien         Ouhyoung         M 28.05.87
     52030 29.04.54 Lorien         Gronowski        M 06.12.92
     91664 03.09.54 Lorien         Gyorkos          M 18.10.93
     88234 18.02.64 Lorien         Tanemo           F 20.04.85
     87397 26.04.60 Lorien         Perng            M 11.08.86
     84927 07.05.58 Lorien         Harllee          M 07.04.93
     91292 10.11.64 Lorien         Luca             M 16.01.92
     83794 18.01.60 Lorien         Molenaar         F 18.02.87
     79113 15.07.61 Lorien         Khamsi           F 21.03.94
     73760 17.10.59 Lorien         Plumb            M 24.03.86
     79261 31.12.56 Lorien         Cronau           M 30.08.89

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
     81916 21.11.52 Lorien         Yavatkar         F 17.02.90
     79374 21.12.53 Lorien         Jarecki          M 21.11.85
     74592 29.10.56 Lorien         Eiron            M 29.01.87
     74891 01.11.57 Lorien         Kavvadias        M 26.09.86
     80411 10.08.63 Lorien         Pollock          M 15.12.93
    104981 27.08.56 Lorien         Dulin            M 28.05.85
    203032 02.01.55 Lorien         Rassart          M 28.09.91
    107566 13.05.58 Lorien         Hoppenstand      F 25.08.86
    107738 20.04.59 Lorien         Jansch           M 15.03.87
    108634 26.09.61 Lorien         Gihr             M 28.06.85
    202273 10.12.60 Lorien         Borstler         M 12.09.90

    EMP_NO BIRTH_DA FIRST_NAME     LAST_NAME        G HIRE_DAT
---------- -------- -------------- ---------------- - --------
